,gabor_0_mean,gabor_0_std,gabor_0_energy,gabor_0_entropy,gabor_1_mean,gabor_1_std,gabor_1_energy,gabor_1_entropy,gabor_2_mean,gabor_2_std,gabor_2_energy,gabor_2_entropy,gabor_3_mean,gabor_3_std,gabor_3_energy,gabor_3_entropy,Identity,View
016z050pf.jpg,71.381805,302.14505,145586860000.0,-1453.2591404700088,80.95755,253.1237,106676060000.0,-1652.490909064316,71.397896,281.09116,127043080000.0,-1415.819311279266,80.95756,240.66554,97384250000.0,-1650.5669503907427,50p,pf
016z050ps.jpg,30.252922,145.49818,32014709000.0,-709.5217624197942,34.31154,113.74118,20460370000.0,-797.6256066223497,30.236298,103.39038,16821062000.0,-672.2532341798793,34.311527,119.80884,22514618000.0,-799.8394512039253,50p,ps
016z051pf.jpg,55.531876,276.93713,135447765000.0,-995.8996479443373,62.97939,216.93407,86633790000.0,-1118.260195764255,55.530632,244.90572,107068015000.0,-961.0983293900961,62.97938,211.17534,82447980000.0,-1113.4476794686493,51p,pf
016z051ps.jpg,23.928873,139.41039,34283071000.0,-576.6049022745738,27.137657,84.4094,13470350000.0,-645.8676772348911,23.91297,80.29658,12027557000.0,-537.603143282085,27.137665,89.42775,14965164000.0,-643.1175681461395,51p,ps
016z052pf.jpg,52.686565,251.02394,107956990000.0,-1121.9285457510232,59.752502,207.30867,76382250000.0,-1271.5813410909932,52.683216,229.41505,90920400000.0,-1091.573217493289,59.7525,199.45137,71137610000.0,-1268.9503272873574,52p,pf
016z052ps.jpg,23.521091,137.67552,31315650000.0,-560.8412800472122,26.675867,86.78048,13231515000.0,-628.3155606377636,23.504633,77.287834,10475923000.0,-524.160127441782,26.675865,93.305046,15117705000.0,-630.5485496663031,52p,ps
017z053pf.jpg,61.786327,290.97058,141590230000.0,-1219.3522620409622,70.07284,233.51372,95115560000.0,-1364.417953351947,61.780685,259.53427,113895770000.0,-1172.007249337398,70.072845,225.71764,89386390000.0,-1361.2501356945968,53p,pf
017z053ps.jpg,26.841743,148.3309,36418660000.0,-670.5427476162038,30.442566,109.35989,20653666000.0,-748.8601298379062,26.867735,93.84965,15273682000.0,-624.1565299183962,30.442568,104.72426,19063052000.0,-742.6481105670241,53p,ps
017z054pf.jpg,56.057533,274.71234,136968856000.0,-1306.7384989420184,63.57703,213.90128,86764190000.0,-1468.6047516837693,56.054256,232.90761,99992920000.0,-1257.4113152829984,63.577034,209.4069,83449210000.0,-1465.2653043723822,54p,pf
017z054ps.jpg,26.200308,138.81973,34144350000.0,-651.4787086565783,29.71385,95.18882,17012526000.0,-732.4904314703907,26.19116,77.35615,11411384000.0,-602.6835144681193,29.713844,92.023056,15998549000.0,-728.4280287269053,54p,ps
017z055pf.jpg,64.865204,308.24887,154543050000.0,-1345.7053092241595,73.56622,266.26312,118850080000.0,-1511.5023795904995,64.848816,245.54796,100457720000.0,-1292.290511339733,73.566246,260.73938,114316160000.0,-1506.5755989229103,55p,pf
017z055ps.jpg,37.731323,219.74501,76313264000.0,-1003.9045282243759,42.79478,173.47852,49010565000.0,-1135.1684660718827,37.749187,150.05801,36754506000.0,-943.9247224617869,42.79479,174.65881,49641360000.0,-1132.5990084650166,55p,ps
017z056pf.jpg,44.64394,264.5682,105574030000.0,-822.6811720581213,50.63193,211.58551,69413420000.0,-924.1374369030957,44.63203,237.68538,85771540000.0,-796.7052003290305,50.631943,200.08461,62470040000.0,-920.2241544411277,56p,pf
017z056ps.jpg,18.957588,209.53995,63319310000.0,-443.17033980904074,21.498745,98.651,14581966000.0,-468.94108837409084,18.95348,81.6115,10041048000.0,-395.5753101259285,21.498737,107.985886,17341140000.0,-470.2529311231119,56p,ps
018z057pf.jpg,52.895565,286.9355,111412584000.0,-864.0964389943683,59.99046,237.29782,78405170000.0,-967.573455494051,52.892044,238.96071,78393060000.0,-833.4192475282796,59.99045,224.71951,70799650000.0,-962.2930236258054,57p,pf
018z057ps.jpg,21.565676,131.35905,21833153000.0,-373.285695584311,24.457544,92.12164,11193091000.0,-413.29171555657166,21.566574,81.768585,8811017000.0,-353.0312015533045,24.457537,91.54358,11062284000.0,-412.107444874866,57p,ps
018z058pf.jpg,67.93824,306.44662,144012360000.0,-1192.627244395295,77.0464,268.5543,114095240000.0,-1346.2079099751472,67.933716,246.81729,95789425000.0,-1150.7765298583322,77.046394,262.94122,109734540000.0,-1344.3407567633055,58p,pf
018z058ps.jpg,35.09763,218.46077,71559460000.0,-891.434536256451,39.801342,168.38884,43761220000.0,-1002.8702310906456,35.053272,148.31369,33948537000.0,-841.1626277513349,39.801342,168.51573,43823690000.0,-993.7834354363911,58p,ps
018z059pf.jpg,60.29759,274.24808,121627795000.0,-1034.5725494794337,68.384964,226.13643,86096990000.0,-1172.2954282698608,60.29843,241.67119,95702024000.0,-1003.2338618209899,68.38496,215.10022,78585320000.0,-1168.7165251798297,59p,pf
